id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
29881128,Work and Play! - 2 BR- Sleeps 4- Best area of town,50893,Chris,Capitol Hill,Broadway,47.62573,-122.32075,Entire home/apt,119,28,11,2020-11-01,0.46,1,335
29889060,★ Cozy Studio in Capitol Hill / Central District ★,224724210,Daniel,Central Area,Mann,47.61348,-122.29622,Entire home/apt,72,1,112,2020-07-22,3.91,1,132
29914151,N Seattle home - Master Suite & large living room,7435040,Chengying,Northgate,Pinehurst,47.71803,-122.32326,Entire home/apt,80,2,69,2020-11-04,2.42,8,310
29921456,The European Room - Shared Coed (Left Bed),26967583,Maria,Capitol Hill,Montlake,47.64185,-122.3027,Shared room,18,1,1,2019-06-17,0.05,42,7
29929942,1-Fabulous New Studio in Columbia City!,225034304,Julie,Rainier Valley,Columbia City,47.55749,-122.28701,Entire home/apt,120,30,76,2020-11-22,2.63,2,272
29984580,"4BR Smart Home in ♡ of City! 10min DT, 15min SEA",34169879,Anu,Beacon Hill,Mid-Beacon Hill,47.5495,-122.29143,Entire home/apt,178,1,184,2021-03-27,6.37,1,311
30013204,Casita Madrona Annex,2536,Megan,Central Area,Madrona,47.61147,-122.29222,Entire home/apt,65,30,3,2019-11-02,0.11,2,184
30018439,Downtown Condo – Sweeping Puget Sound Views,10697929,Jenn,Downtown,Pike-Market,47.60842,-122.33987,Entire home/apt,250,3,29,2020-03-03,1.07,1,88
30044044,"Well Appointed 1 bdrm ""Penthouse"" Apt - Large Deck",29864534,Michael,West Seattle,Genesee,47.56546,-122.37536,Entire home/apt,95,3,107,2021-03-15,4.36,1,34
30044981,Green Lake Carriage Apartment,8186843,Alyson,Other neighborhoods,Green Lake,47.68195,-122.33007,Entire home/apt,149,2,40,2021-03-18,1.41,2,203
30113499,Capitol Hill Craftsman Charm with Modern Amenities,75658917,Mindy,Capitol Hill,Stevens,47.62344,-122.30576,Entire home/apt,70,4,56,2020-10-25,1.98,1,242
30114679,"The Inn at Magnolia Park, Your private retreat",108049935,Talman,Magnolia,Briarcliff,47.63713,-122.39802,Entire home/apt,90,30,20,2019-11-12,0.74,1,179
30124134,Fremont Two Story Apartment,201624129,Nancy,Other neighborhoods,Fremont,47.66152,-122.34769,Entire home/apt,135,30,14,2020-10-15,0.50,2,287
30130681,Superb Studio in Incredible Capitol Hill Location,100208194,Brandon,Capitol Hill,Broadway,47.61676,-122.3173,Entire home/apt,97,1,157,2021-03-03,5.57,3,163
